鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康十街,17.87,商,,,1150302,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,98.39,2,2,2,有,無,8300000,88889,坡道機械,12.89,700000,,RPTNMLOJLHLGFAI38CB,威盛好日子2,乙棟3K號,
嘉義市,房地(土地+建物),嘉義市嘉義市東區興村段442-6地號,85.0,住,,,1150303,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,169.55,3,3,3,有,無,17700000,104394,,0.0,0,,RPPNMLPJLHLGFAI08CB,橙大硯,B棟0號,
嘉義市,房地(土地+建物),嘉義市嘉義市竹子腳,137.54,住,,,1150302,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,212.27,5,2,5,有,無,21650000,101993,,0.0,0,申報人梠藝建設有限公司及華城開發建設有限公司,RPTNMLPJLHLGFAI48CB,竹村樂,A3棟A3號,
嘉義市,房地(土地+建物),嘉義市嘉義市竹子腳,137.54,住,,,1150302,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,212.51,5,2,5,有,無,21690000,102066,,0.0,0,申報人梠藝建設有限公司及華城開發建設有限公司,RPUNMLPJLHLGFAI58CB,竹村樂,A5棟A5號,
嘉義市,房地(土地+建物),嘉義市嘉義市竹子腳,137.54,住,,,1150302,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,212.51,5,2,5,有,無,21880000,102960,,0.0,0,申報人梠藝建設有限公司及華城開發建設有限公司,RPWNMLPJLHLGFAI78CB,竹村樂,A9棟A9號,
嘉義市,房地(土地+建物),嘉義市嘉義市竹子腳,137.54,住,,,1150302,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,212.27,5,2,5,有,無,21660000,102040,,0.0,0,申報人梠藝建設有限公司及華城開發建設有限公司,RPXNMLPJLHLGFAI88CB,竹村樂,A6棟A6號,
嘉義市,房地(土地+建物),嘉義市嘉義市竹子腳,137.54,住,,,1150302,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,212.51,5,2,5,有,無,21720000,102207,,0.0,0,申報人梠藝建設有限公司及華城開發建設有限公司,RPOOMLPJLHLGFAI08CB,竹村樂,A7棟A7號,
嘉義市,房地(土地+建物),嘉義市嘉義市竹子腳,144.44,住,,,1150302,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,215.43,5,2,5,有,無,22000000,102121,,0.0,0,申報人梠藝建設有限公司及華城開發建設有限公司,RPPOMLPJLHLGFAI18CB,竹村樂,A12棟A12號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康八街與湖美六街交叉口,17.81,商,,,1150302,土地2建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.33,2,2,2,有,無,10500000,95041,坡道平面,30.16,1550000,,RPPNMLKKLHLGFAI67CB,勝旺·有嘉,B1棟7號,
